t	1e9*scaling*thickness	stress_comp*1e-6	stress_comp*scaling*thickness	0.5*stress_tensile*1e-6	stress_tensile*scaling*thickness	area	coverage	stress-thickness	stress
0.000568	0.000000	-3070.331392	-0.000000	0.000000	0.000000	640000.042152	0.000000	-0.000000	-518.266266
0.023790	0.000000	-3070.331392	-0.000000	0.000000	0.000000	640000.042152	0.000001	-0.000000	-518.266266
0.041110	0.000000	-3070.331392	-0.000000	0.000000	0.000000	640000.042152	0.000001	-0.000000	-518.266266
0.056938	0.000000	-3070.331392	-0.000000	0.000000	0.000000	640000.042152	0.000002	-0.000000	-518.266266
0.071842	0.000000	-3070.331392	-0.000001	0.000000	0.000000	640000.042152	0.000002	-0.000001	-518.266266
0.160877	0.000001	-3070.331392	-0.000002	0.000000	0.000000	640000.042152	0.000003	-0.000002	-518.266266
0.249621	0.000001	-3070.331392	-0.000004	0.000000	0.000000	640000.042152	0.000003	-0.000004	-518.266266
0.297720	0.000002	-3070.331392	-0.000005	0.000000	0.000000	640000.042152	0.000004	-0.000005	-518.266266
0.363339	0.000002	-3070.331392	-0.000008	0.000000	0.000000	640000.042152	0.000006	-0.000008	-518.266266
0.382385	0.000003	-3070.331392	-0.000008	0.000000	0.000000	640000.042152	0.000007	-0.000008	-518.266266
0.456904	0.000004	-2926.106441	-0.000012	0.000000	0.000000	640000.042152	0.000010	-0.000012	-493.921361
0.490851	0.000005	-2785.911619	-0.000014	0.000000	0.000000	640000.042152	0.000012	-0.000014	-470.256734
0.578366	0.000008	-2463.638277	-0.000020	0.000000	0.000000	640000.042152	0.000017	-0.000020	-415.857589
0.609675	0.000009	-2365.759020	-0.000022	0.000000	0.000000	640000.042152	0.000019	-0.000022	-399.335751
0.679167	0.000013	-2196.002823	-0.000028	0.000000	0.000000	640000.042152	0.000025	-0.000028	-370.681219
0.711606	0.000014	-2125.028847	-0.000031	0.000000	0.000000	640000.042152	0.000028	-0.000031	-358.700943
0.715146	0.000015	-2119.151944	-0.000031	0.000000	0.000000	640000.042152	0.000029	-0.000031	-357.708933
0.724453	0.000015	-2121.983367	-0.000032	0.000000	0.000000	640000.042152	0.000030	-0.000032	-358.186872
0.799217	0.000021	-1955.152354	-0.000041	0.000000	0.000000	640000.042152	0.000039	-0.000041	-330.026105
0.825082	0.000023	-1905.697253	-0.000044	0.000000	0.000000	640000.042152	0.000042	-0.000044	-321.678175
0.836199	0.000024	-1897.538051	-0.000046	0.000000	0.000000	640000.042152	0.000044	-0.000046	-320.300917
0.854679	0.000026	-1871.115087	-0.000049	0.000000	0.000000	640000.042152	0.000047	-0.000049	-315.840769
0.896357	0.000030	-1800.872777	-0.000055	0.000000	0.000000	640000.042152	0.000053	-0.000055	-303.983997
0.930663	0.000034	-1740.933763	-0.000060	0.000000	0.000000	640000.042152	0.000059	-0.000060	-293.866403
1.013246	0.000047	-1614.728180	-0.000075	0.000000	0.000000	640000.042152	0.000074	-0.000075	-272.563133
1.061954	0.000055	-1563.457052	-0.000086	0.000000	0.000000	640000.042152	0.000083	-0.000086	-263.908662
1.130975	0.000069	-1483.428800	-0.000102	0.000000	0.000000	640000.042152	0.000101	-0.000102	-250.400041
1.142201	0.000071	-1481.642064	-0.000105	0.000000	0.000000	640000.042152	0.000103	-0.000105	-250.098443
1.177033	0.000079	-1452.334823	-0.000114	0.000000	0.000000	640000.042152	0.000113	-0.000114	-245.151435
1.236583	0.000094	-1390.591650	-0.000131	0.000000	0.000000	640000.042152	0.000130	-0.000131	-234.729301
1.319425	0.000120	-1304.690929	-0.000157	0.000000	0.000000	640000.042152	0.000156	-0.000157	-220.229418
1.404402	0.000152	-1223.426723	-0.000186	0.000000	0.000000	640000.042152	0.000186	-0.000186	-206.512170
1.458468	0.000174	-1180.536013	-0.000206	0.000000	0.000000	640000.042152	0.000208	-0.000206	-199.272298
1.483440	0.000185	-1163.279505	-0.000215	0.000000	0.000000	640000.042152	0.000219	-0.000215	-196.359431
1.548060	0.000217	-1115.512965	-0.000242	0.000000	0.000000	640000.042152	0.000248	-0.000242	-188.296527
1.611867	0.000253	-1069.817107	-0.000270	0.000000	0.000000	640000.042152	0.000278	-0.000270	-180.583151
1.615245	0.000255	-1070.385687	-0.000272	0.000000	0.000000	640000.042152	0.000280	-0.000272	-180.679126
1.690196	0.000302	-1020.082719	-0.000308	0.000000	0.000000	640000.042152	0.000318	-0.000308	-172.188078
1.758302	0.000351	-978.053737	-0.000343	0.000000	0.000000	640000.042152	0.000358	-0.000343	-165.093664
1.774092	0.000363	-970.849566	-0.000352	0.000000	0.000000	640000.042152	0.000367	-0.000352	-163.877613
1.844364	0.000420	-933.395284	-0.000392	0.000000	0.000000	640000.042152	0.000410	-0.000392	-157.555399
1.918831	0.000489	-896.052777	-0.000438	0.000000	0.000000	640000.042152	0.000460	-0.000438	-151.252053
1.940947	0.000510	-887.984308	-0.000453	0.000000	0.000000	640000.042152	0.000475	-0.000453	-149.890111
1.980839	0.000550	-869.475663	-0.000478	0.000000	0.000000	640000.042152	0.000505	-0.000478	-146.765885
1.994227	0.000564	-865.366814	-0.000488	0.000000	0.000000	640000.042152	0.000515	-0.000488	-146.072319
2.067146	0.000647	-833.909463	-0.000540	0.000000	0.000000	640000.042152	0.000571	-0.000540	-140.762377
2.140431	0.000740	-804.646717	-0.000595	0.000000	0.000000	640000.042152	0.000632	-0.000595	-135.822879
2.200638	0.000822	-782.532674	-0.000643	0.000000	0.000000	640000.042152	0.000684	-0.000643	-132.090070
2.211349	0.000837	-780.316650	-0.000653	0.000000	0.000000	640000.042152	0.000693	-0.000653	-131.716009
2.285419	0.000950	-754.799617	-0.000717	0.000000	0.000000	640000.042152	0.000764	-0.000717	-127.408781
2.326801	0.001017	-742.085875	-0.000755	0.000000	0.000000	640000.042152	0.000805	-0.000755	-125.262725
2.401380	0.001148	-718.833216	-0.000825	0.000000	0.000000	640000.042152	0.000881	-0.000825	-121.337719
2.413757	0.001170	-715.948515	-0.000838	0.000000	0.000000	640000.042152	0.000894	-0.000838	-120.850786
2.439066	0.001217	-709.207793	-0.000863	0.000000	0.000000	640000.042152	0.000922	-0.000863	-119.712965
2.515894	0.001372	-687.091599	-0.000943	0.000000	0.000000	640000.042152	0.001008	-0.000943	-115.979792
2.602790	0.001565	-663.802735	-0.001039	0.000000	0.000000	640000.042152	0.001112	-0.001039	-112.048675
2.668910	0.001723	-646.749439	-0.001115	0.000000	0.000000	640000.042152	0.001197	-0.001115	-109.170110
2.747959	0.001929	-628.853863	-0.001213	0.000000	0.000000	640000.042152	0.001301	-0.001213	-106.149370
2.772517	0.001995	-623.562206	-0.001244	0.000000	0.000000	640000.042152	0.001336	-0.001244	-105.256148
2.837819	0.002181	-609.079698	-0.001329	0.000000	0.000000	640000.042152	0.001430	-0.001329	-102.811528
2.869957	0.002276	-602.457960	-0.001371	0.000000	0.000000	640000.042152	0.001478	-0.001371	-101.693790
2.936147	0.002485	-588.312567	-0.001462	0.000000	0.000000	640000.042152	0.001578	-0.001462	-99.306074
2.965160	0.002579	-582.748387	-0.001503	0.000000	0.000000	640000.042152	0.001623	-0.001503	-98.366851
3.011120	0.002736	-573.529854	-0.001569	0.000000	0.000000	640000.042152	0.001698	-0.001569	-96.810780
3.098108	0.003056	-556.731235	-0.001702	0.000000	0.000000	640000.042152	0.001844	-0.001702	-93.975204
3.113358	0.003113	-554.506097	-0.001726	0.000000	0.000000	640000.042152	0.001870	-0.001726	-93.599605
3.175855	0.003361	-543.513478	-0.001827	0.000000	0.000000	640000.042152	0.001980	-0.001827	-91.744071
3.188176	0.003410	-542.056414	-0.001849	0.000000	0.000000	640000.042152	0.002003	-0.001849	-91.498121
3.265246	0.003741	-529.180683	-0.001980	0.000000	0.000000	640000.042152	0.002145	-0.001980	-89.324722
3.299041	0.003890	-524.005849	-0.002039	0.000000	0.000000	640000.042152	0.002212	-0.002039	-88.451219
3.320388	0.003987	-520.692256	-0.002076	0.000000	0.000000	640000.042152	0.002255	-0.002076	-87.891891
3.346034	0.004105	-517.058795	-0.002122	0.000000	0.000000	640000.042152	0.002305	-0.002122	-87.278569
3.357767	0.004159	-515.784693	-0.002145	0.000000	0.000000	640000.042152	0.002328	-0.002145	-87.063503
3.407988	0.004404	-508.084325	-0.002237	0.000000	0.000000	640000.042152	0.002431	-0.002237	-85.763695
3.438922	0.004558	-503.814495	-0.002296	0.000000	0.000000	640000.042152	0.002495	-0.002296	-85.042956
3.497648	0.004866	-495.202144	-0.002410	0.000000	0.000000	640000.042152	0.002621	-0.002410	-83.589207
3.521337	0.004993	-492.498412	-0.002459	0.000000	0.000000	640000.042152	0.002673	-0.002459	-83.132822
3.568860	0.005257	-485.957613	-0.002555	0.000000	0.000000	640000.042152	0.002780	-0.002555	-82.028747
3.590728	0.005381	-483.279588	-0.002600	0.000000	0.000000	640000.042152	0.002830	-0.002600	-81.576702
3.599239	0.005429	-482.731140	-0.002621	0.000000	0.000000	640000.042152	0.002850	-0.002621	-81.484124
3.638096	0.005657	-478.113747	-0.002705	0.000000	0.000000	640000.042152	0.002940	-0.002705	-80.704717
3.678627	0.005904	-473.081750	-0.002793	0.000000	0.000000	640000.042152	0.003037	-0.002793	-79.855325
3.766839	0.006478	-462.699899	-0.002997	0.000000	0.000000	640000.042152	0.003253	-0.002997	-78.102888
3.818695	0.006829	-456.816336	-0.003119	0.000000	0.000000	640000.042152	0.003386	-0.003119	-77.109754
3.884152	0.007295	-449.483316	-0.003279	0.000000	0.000000	640000.042152	0.003559	-0.003279	-75.871953
3.956290	0.007837	-442.120959	-0.003465	0.000000	0.000000	640000.042152	0.003756	-0.003465	-74.629201
4.023092	0.008364	-435.283988	-0.003641	0.000000	0.000000	640000.042152	0.003946	-0.003641	-73.475133
4.062520	0.008684	-431.236105	-0.003745	0.000000	0.000000	640000.042152	0.004060	-0.003745	-72.791858
4.071408	0.008757	-430.589417	-0.003770	0.000000	0.000000	640000.042152	0.004086	-0.003770	-72.682698
4.085595	0.008874	-429.343292	-0.003810	0.000000	0.000000	640000.042152	0.004129	-0.003810	-72.472354
4.112206	0.009098	-426.824502	-0.003883	0.000000	0.000000	640000.042152	0.004208	-0.003883	-72.047187
4.162945	0.009541	-421.714450	-0.004023	0.000000	0.000000	640000.042152	0.004364	-0.004023	-71.184620
4.174203	0.009640	-420.905001	-0.004057	0.000000	0.000000	640000.042152	0.004398	-0.004057	-71.047986
4.246056	0.010304	-413.638022	-0.004262	0.000000	0.000000	640000.042152	0.004626	-0.004262	-69.821334
4.264186	0.010474	-412.077823	-0.004316	0.000000	0.000000	640000.042152	0.004685	-0.004316	-69.557975
4.268216	0.010512	-411.934901	-0.004330	0.000000	0.000000	640000.042152	0.004697	-0.004330	-69.533850
4.312220	0.010938	-407.837035	-0.004461	0.000000	0.000000	640000.042152	0.004840	-0.004461	-68.842138
4.397645	0.011814	-400.186813	-0.004728	0.000000	0.000000	640000.042152	0.005129	-0.004728	-67.550795
4.457100	0.012449	-395.365976	-0.004922	0.000000	0.000000	640000.042152	0.005335	-0.004922	-66.737046
4.544952	0.013442	-388.150989	-0.005217	0.000000	0.000000	640000.042152	0.005653	-0.005217	-65.519170
4.564571	0.013667	-386.684106	-0.005285	0.000000	0.000000	640000.042152	0.005727	-0.005285	-65.271563
4.606551	0.014161	-383.479058	-0.005430	0.000000	0.000000	640000.042152	0.005884	-0.005430	-64.730557
4.651163	0.014701	-380.072641	-0.005587	0.000000	0.000000	640000.042152	0.006055	-0.005587	-64.155560
4.737241	0.015801	-373.314670	-0.005899	0.000000	0.000000	640000.042152	0.006392	-0.005899	-63.014826
4.778520	0.016343	-370.148172	-0.006049	0.000000	0.000000	640000.042152	0.006560	-0.006049	-62.480328
4.847495	0.017287	-364.966492	-0.006309	0.000000	0.000000	640000.042152	0.006844	-0.006309	-61.605670
